GameId,TotalMatchesA,TotalWinsA,TotalLossesA,TotalPointsA,TotalScoreForA,TotalScoreAgainstA,TotalMatchesB,TotalWinsB,TotalLossesB,TotalPointsB,TotalScoreForB,TotalScoreAgainstB,Winner
100016145,29,21,8,63,24,10,26,6,19,18,7,19,A
100016146,29,12,17,36,14,20,28,16,12,48,18,12,A
100016147,29,13,16,39,14,19,26,12,14,36,12,14,B
100016148,28,13,15,39,13,17,29,17,11,51,19,14,B
100016149,28,13,15,39,15,17,28,16,12,48,18,12,B
100016150,28,13,15,39,13,17,28,16,12,48,18,12,B
100016151,29,13,16,39,14,19,29,17,11,51,19,14,B
100016152,28,16,12,48,18,12,26,12,14,36,12,14,A
100016153,26,6,19,18,7,19,29,12,17,36,14,20,B
100016154,29,21,8,63,24,10,28,13,15,39,15,17,A
100016155,28,13,15,39,13,17,26,12,14,36,12,14,A
100016156,26,6,19,18,7,19,28,16,12,48,18,12,A
100016157,29,21,8,63,24,10,29,13,16,39,14,19,A
100016158,28,13,15,39,15,17,29,12,17,36,14,20,A
100016159,29,17,11,51,19,14,28,16,12,48,18,12,B
100016160,29,13,16,39,14,19,28,16,12,48,18,12,B
100016161,28,13,15,39,15,17,28,16,12,48,18,12,B
100016162,29,12,17,36,14,20,26,12,14,36,12,14,B
100016163,29,21,8,63,24,10,28,13,15,39,13,17,B
100016164,26,6,19,18,7,19,29,17,11,51,19,14,B
100016165,29,13,16,39,14,19,28,16,12,48,18,12,B
100016166,28,13,15,39,13,17,28,16,12,48,18,12,A
100016167,29,21,8,63,24,10,26,12,14,36,12,14,A
100016169,28,13,15,39,15,17,26,6,19,18,7,19,A
100016168,29,12,17,36,14,20,29,17,11,51,19,14,B
100016170,26,6,19,18,7,19,29,13,16,39,14,19,B
100016171,28,16,12,48,18,12,29,17,11,51,19,14,A
100016172,29,12,17,36,14,20,28,13,15,39,13,17,B
100016173,29,21,8,63,24,10,28,16,12,48,18,12,B
100016174,28,13,15,39,15,17,26,12,14,36,12,14,B
100016175,28,13,15,39,13,17,29,13,16,39,14,19,B
100016176,26,12,14,36,12,14,26,6,19,18,7,19,A
100016177,28,16,12,48,18,12,29,21,8,63,24,10,B
100016179,28,13,15,39,15,17,29,17,11,51,19,14,B
100016178,28,16,12,48,18,12,29,12,17,36,14,20,B
100016187,28,13,15,39,13,17,26,6,19,18,7,19,A
100016189,28,16,12,48,18,12,28,16,12,48,18,12,A
100016185,29,17,11,51,19,14,26,12,14,36,12,14,A
100016186,28,13,15,39,15,17,29,13,16,39,14,19,B
100016188,29,12,17,36,14,20,29,21,8,63,24,10,B
100016180,26,12,14,36,12,14,28,16,12,48,18,12,B
100016181,29,13,16,39,14,19,29,12,17,36,14,20,B
100016182,28,13,15,39,15,17,28,13,15,39,13,17,B
100016184,29,17,11,51,19,14,29,21,8,63,24,10,A
100016183,28,16,12,48,18,12,26,6,19,18,7,19,A
100016563,28,16,12,48,18,12,26,12,14,36,12,14,A
100016564,28,13,15,39,13,17,29,12,17,36,14,20,B
100016565,29,17,11,51,19,14,29,13,16,39,14,19,A
100016566,29,21,8,63,24,10,28,16,12,48,18,12,A
100016567,28,16,12,48,18,12,29,12,17,36,14,20,B
100016568,29,17,11,51,19,14,29,21,8,63,24,10,B
100016569,26,12,14,36,12,14,28,13,15,39,13,17,B
100016570,29,13,16,39,14,19,28,16,12,48,18,12,A
