,TeamId,TotalMatches,TotalWins,TotalLosses,TotalPoints,TotalScoreFor,TotalScoreAgainst
100000019,100000019,28,16,12,48,18,12
100000224,100000224,29,17,11,51,19,14
100000012,100000012,29,21,8,63,24,10
100000076,100000076,28,13,15,39,13,17
100000496,100000496,28,16,12,48,18,12
100000535,100000535,29,12,17,36,14,20
100000525,100000525,26,12,14,36,12,14
100000434,100000434,29,13,16,39,14,19
100000011,100000011,28,13,15,39,15,17
100000074,100000074,26,6,19,18,7,19
100000160,100000160,25,17,8,51,0,0
100000165,100000165,25,14,11,42,0,0
100000439,100000439,25,16,9,48,0,0
100000536,100000536,25,14,11,42,0,0
100000162,100000162,24,16,8,48,0,0
100000225,100000225,25,13,12,39,0,0
100000159,100000159,25,12,13,36,0,0
100000059,100000059,25,7,18,21,0,0
100000499,100000499,24,6,18,18,0,0
100000537,100000537,25,9,16,27,0,0
100000061,100000061,19,12,6,36,19,14
100000227,100000227,16,8,4,24,15,11
100000539,100000539,18,13,4,39,25,10
100000538,100000538,14,3,9,9,7,16
100000171,100000171,19,12,6,36,26,13
100000184,100000184,14,4,8,12,8,13
100000500,100000500,14,3,9,9,6,16
100000450,100000450,9,1,8,3,1,10
100000021,100000021,27,21,6,63,21,6
100000024,100000024,27,17,10,51,17,10
100000022,100000022,18,10,8,30,10,8
100000045,100000045,27,14,13,42,14,13
100000222,100000222,27,17,10,51,17,10
100000047,100000047,27,15,12,45,15,12
100000029,100000029,27,13,14,39,13,14
100000030,100000030,27,11,16,33,11,16
100000025,100000025,27,6,21,18,6,21
100000027,100000027,27,8,19,24,8,19
100000212,100000212,21,19,2,57,19,2
100000540,100000540,21,13,8,39,13,8
100000177,100000177,21,9,12,27,9,12
100000448,100000448,21,12,9,36,12,9
100000056,100000056,21,10,11,30,10,11
100000185,100000185,21,10,11,30,10,11
100000178,100000178,21,7,14,21,7,14
100000228,100000228,14,2,12,6,2,12
100000153,100000153,17,16,1,48,33,10
100000050,100000050,18,16,2,48,33,9
100000223,100000223,17,13,4,39,29,12
100000541,100000541,18,9,9,27,22,21
100000067,100000067,18,7,11,21,18,25
100000068,100000068,17,4,12,12,13,27
100000152,100000152,17,4,12,12,15,27
100000054,100000054,18,0,18,0,4,36
100000548,100000548,0,0,0,0,0,0
100000545,100000545,1,0,0,0,0,1
100000547,100000547,1,0,0,0,1,0
100000553,100000553,0,0,0,0,0,0
100000466,100000466,0,0,0,0,0,0
100000454,100000454,0,0,0,0,0,0
100000520,100000520,0,0,0,0,0,0
100000303,100000303,0,0,0,0,0,0
100000516,100000516,0,0,0,0,0,0
100000313,100000313,0,0,0,0,0,0
100000546,100000546,0,0,0,0,0,0
100000518,100000518,0,0,0,0,0,0
100000555,100000555,0,0,0,0,0,0
100000552,100000552,0,0,0,0,0,0
100000551,100000551,0,0,0,0,0,0
100000467,100000467,0,0,0,0,0,0
100000549,100000549,0,0,0,0,0,0
100000323,100000323,0,0,0,0,0,0
100000461,100000461,0,0,0,0,0,0
100000020,100000020,0,0,0,0,0,0
100000311,100000311,0,0,0,0,0,0
100000550,100000550,0,0,0,0,0,0
100000517,100000517,0,0,0,0,0,0
100000413,100000413,0,0,0,0,0,0
100000554,100000554,0,0,0,0,0,0
100000191,100000191,27,23,4,69,48,13
100000200,100000200,28,20,8,60,45,25
100000211,100000211,27,17,10,51,38,27
100000194,100000194,25,17,8,51,38,28
100000210,100000210,27,19,8,57,41,23
100000063,100000063,27,14,13,42,33,30
100000196,100000196,25,14,11,42,34,27
100000069,100000069,27,19,8,57,42,25
100000498,100000498,26,17,9,51,41,23
100000534,100000534,27,10,17,30,25,39
100000437,100000437,27,9,18,27,27,40
100000481,100000481,27,7,20,21,18,45
100000497,100000497,27,7,20,21,24,45
100000201,100000201,28,8,20,24,24,43
100000070,100000070,27,10,17,30,25,34
100000433,100000433,27,11,16,33,27,38
100000192,100000192,27,6,21,18,20,45
100000558,100000558,5,1,3,3,3,7
100000064,100000064,26,21,5,63,46,16
100000005,100000005,26,20,6,60,43,18
100000231,100000231,25,22,3,66,46,13
100000001,100000001,26,10,16,30,25,36
100000066,100000066,26,14,12,42,34,30
100000154,100000154,26,16,10,48,36,23
100000155,100000155,26,12,14,36,30,36
100000230,100000230,26,5,21,15,18,46
100000435,100000435,26,6,20,18,19,45
100000436,100000436,25,3,22,9,12,46
100000559,100000559,9,3,6,9,3,6
100000560,100000560,7,2,5,6,2,5
